Time(Seconds), Inputs 
0.0, 0.05957381799817085 
1.0, 0.32599878311157227 
2.0, 0.355486661195755 
3.0, 0.37992143630981445 
4.0, 0.4029076397418976 
5.0, 0.4210812449455261 
6.0, 0.43894681334495544 
7.0, 0.4545183479785919 
8.0, 0.4682796895503998 
9.0, 0.48204103112220764 
10.0, 0.49519529938697815 
11.0, 0.5076640844345093 
12.0, 0.520132839679718 
13.0, 0.5325777530670166 
14.0, 0.5446609854698181 
15.0, 0.555989146232605 
16.0, 0.5672587156295776 
17.0, 0.5782670378684998 
18.0, 0.5888282060623169 
19.0, 0.599389374256134 
20.0, 0.6099505424499512 
21.0, 0.6199553608894348 
22.0, 0.6276999115943909 
23.0, 0.6354444622993469 
24.0, 0.6431889533996582 
25.0, 0.6514531373977661 
26.0, 0.6610585451126099 
27.0, 0.6689829230308533 
28.0, 0.6769073009490967 
29.0, 0.6848316192626953 
30.0, 0.6927559971809387 
31.0, 0.7006803750991821 
32.0, 0.7079182267189026 
33.0, 0.7147824764251709 
34.0, 0.7216467261314392 
35.0, 0.7285110354423523 
36.0, 0.7350534200668335 
37.0, 0.7414337992668152 
38.0, 0.7477655410766602 
39.0, 0.7539761066436768 
40.0, 0.7601856589317322 
41.0, 0.766396164894104 
42.0, 0.7726057171821594 
43.0, 0.7788162231445312 
44.0, 0.7850257754325867 
45.0, 0.7904454469680786 
46.0, 0.7949073910713196 
47.0, 0.8002336621284485 
48.0, 0.8055599927902222 
49.0, 0.8108862638473511 
50.0, 0.81621253490448 
51.0, 0.8215388655662537 
52.0, 0.8268651366233826 
53.0, 0.8320900797843933 
54.0, 0.8369494080543518 
55.0, 0.8418097496032715 
56.0, 0.84666907787323 
57.0, 0.8511667847633362 
58.0, 0.8552511930465698 
59.0, 0.8593365550041199 
60.0, 0.8634209632873535 
61.0, 0.8675053119659424 
62.0, 0.8715907335281372 
63.0, 0.8755896687507629 
64.0, 0.8795090913772583 
65.0, 0.8834275603294373 
66.0, 0.8873470425605774 
67.0, 0.8912665247917175 
68.0, 0.894806444644928 
69.0, 0.8982897400856018 
70.0, 0.9017730355262756 
71.0, 0.9052563309669495 
72.0, 0.9087396264076233 
73.0, 0.9122229814529419 
74.0, 0.9157062768936157 
75.0, 0.9186937808990479 
76.0, 0.9216207265853882 
77.0, 0.9245486259460449 
78.0, 0.927381157875061 
79.0, 0.9299454689025879 
80.0, 0.9325097799301147 
81.0, 0.9350740313529968 
82.0, 0.9376383423805237 
83.0, 0.9402026534080505 
84.0, 0.9427669048309326 
85.0, 0.9453312158584595 
86.0, 0.9478955268859863 
87.0, 0.9504597783088684 
88.0, 0.9530240893363953 
89.0, 0.957314133644104 
90.0, 0.9603801369667053 
91.0, 0.9627139568328857 
92.0, 0.965046763420105 
93.0, 0.9673795700073242 
94.0, 0.9697133302688599 
95.0, 0.9720461368560791 
96.0, 0.9743799567222595 
97.0, 0.9767127633094788 
98.0, 0.9790465235710144 
99.0, 0.9813793301582336 
100.0, 0.1986467324422264 
